jam_penggunaan_media_sosial,jam_bermain_game,jam_streaming,jam_pemakaian_aplikasi_pesan,level_stress,kategori
0.97,1.72,1.15,1.2,43.93,tidak stress
2.34,0.66,2.79,1.06,80.63,stress
2.47,0.0,2.6,1.81,23.53,tidak stress
1.01,1.85,4.17,2.08,68.94,stress
1.35,0.38,2.12,1.35,89.32,stress
1.57,1.15,3.85,2.39,24.83,tidak stress
3.07,0.39,1.41,2.07,72.82,stress
3.21,0.0,0.82,1.01,35.64,tidak stress
2.84,2.79,2.39,1.09,17.66,tidak stress
3.38,1.33,1.58,1.11,41.81,tidak stress
1.2,0.0,3.13,1.06,68.07,stress
0.73,2.65,2.66,1.48,43.79,tidak stress
2.47,0.37,2.31,0.83,8.35,tidak stress
0.16,2.54,2.58,1.8,61.95,stress
1.82,1.46,0.78,1.56,34.09,tidak stress
2.55,1.97,0.69,1.6,39.24,tidak stress
2.83,2.21,1.45,0.7,41.69,tidak stress
1.79,0.54,3.01,1.21,39.59,tidak stress
1.92,1.64,2.08,1.45,90.0,stress
0.72,1.73,3.58,1.43,10.21,tidak stress
1.67,1.97,1.73,1.39,36.31,tidak stress
0.16,2.71,1.71,1.19,19.16,tidak stress
4.63,1.64,0.93,1.2,38.01,tidak stress
2.24,3.53,2.3,2.21,29.11,tidak stress
2.09,1.78,1.26,1.84,51.38,stress
0.96,1.06,0.98,1.64,28.24,tidak stress
2.16,3.04,1.22,2.31,66.5,stress
1.06,1.12,2.58,1.24,94.96,stress
2.05,1.03,1.72,0.71,21.71,tidak stress
0.42,1.74,2.14,1.4,17.43,tidak stress
2.93,1.82,3.15,1.83,90.31,stress
0.5,1.2,2.02,2.05,52.03,stress
0.16,0.01,3.98,1.69,49.75,tidak stress
2.46,2.8,2.07,2.16,21.72,tidak stress
1.43,1.84,2.11,1.57,85.02,stress
4.28,0.45,1.63,1.55,73.23,stress
0.88,1.95,3.32,1.05,92.03,stress
0.79,1.02,2.63,0.96,36.15,tidak stress
0.0,2.32,2.53,1.64,76.7,stress
1.22,0.29,2.54,1.46,66.3,stress
3.04,0.5,0.33,1.19,15.5,tidak stress
1.15,1.97,2.17,2.43,81.58,stress
1.42,2.02,1.39,1.31,3.31,tidak stress
0.38,1.98,1.59,2.06,99.28,stress
1.96,1.05,0.0,1.4,51.56,stress
2.71,2.56,2.74,0.49,27.48,tidak stress
2.75,0.91,1.88,1.4,81.65,stress
3.28,1.67,2.18,1.68,20.25,tidak stress
1.84,0.92,2.5,0.98,28.52,tidak stress
2.27,1.69,2.92,1.78,29.53,tidak stress
0.2,2.24,1.94,2.47,0.63,tidak stress
3.38,2.05,2.82,1.61,36.96,tidak stress
2.45,2.11,0.0,0.83,99.86,stress
1.56,1.68,2.52,1.41,45.66,tidak stress
0.34,0.52,2.83,2.76,89.49,stress
1.57,0.56,1.23,1.52,80.04,stress
2.49,2.0,2.74,1.73,24.86,tidak stress
2.64,1.78,3.01,1.84,30.1,tidak stress
1.52,2.8,3.79,1.18,8.37,tidak stress
3.67,0.48,1.73,1.82,30.89,tidak stress
1.48,3.4,0.06,1.96,51.66,stress
3.09,1.61,2.76,1.31,68.24,stress
3.01,1.96,2.93,1.77,57.15,stress
0.48,1.28,0.0,1.54,43.48,tidak stress
3.13,1.83,0.66,1.74,60.2,stress
1.66,0.0,0.29,0.79,23.5,tidak stress
1.01,2.07,1.38,1.53,46.58,tidak stress
0.0,2.87,2.76,2.23,50.12,stress
2.29,2.8,0.19,1.95,69.01,stress
2.03,1.25,2.61,1.44,45.78,tidak stress
1.47,1.33,2.17,1.0,53.81,stress
1.69,0.14,2.78,1.92,4.73,tidak stress
0.71,2.27,1.02,1.01,63.99,stress
1.92,0.0,2.5,0.25,51.97,stress
2.75,2.0,0.36,1.79,49.53,tidak stress
2.75,0.0,1.81,1.33,10.3,tidak stress
1.85,0.21,2.88,1.01,86.58,stress
3.04,0.0,4.13,1.58,75.67,stress
1.83,0.18,2.47,1.97,1.37,tidak stress
1.83,2.82,3.71,2.02,80.05,stress
1.57,0.69,3.01,1.62,35.35,tidak stress
2.93,2.5,0.22,0.89,15.31,tidak stress
0.57,1.89,1.06,1.95,15.95,tidak stress
2.88,1.76,1.48,1.72,68.11,stress
2.42,1.59,3.13,1.24,18.5,tidak stress
3.52,2.09,4.31,1.79,70.08,stress
1.59,0.67,2.3,1.34,86.45,stress
2.36,0.0,2.87,2.82,30.9,tidak stress
3.95,1.11,0.49,1.6,15.92,tidak stress
1.66,3.01,1.25,1.85,94.56,stress
4.84,1.14,1.62,1.85,4.03,tidak stress
1.16,0.0,3.97,1.67,2.68,tidak stress
2.58,1.67,3.22,1.55,77.47,stress
3.08,2.33,2.95,1.88,7.9,tidak stress
2.96,1.74,2.57,1.72,44.67,tidak stress
0.39,0.59,2.4,2.05,72.24,stress
2.13,1.03,0.45,2.36,98.25,stress
3.82,1.62,1.68,1.27,50.12,stress
0.67,2.35,1.08,0.67,51.93,stress
3.3,3.13,2.17,0.78,93.4,stress
2.4,3.19,1.27,1.53,29.83,tidak stress
0.59,1.13,0.93,2.36,68.53,stress
1.94,0.67,0.0,0.95,73.47,stress
2.38,2.27,1.41,0.87,5.32,tidak stress
2.2,2.62,1.0,0.9,82.06,stress
0.0,1.11,2.97,1.88,46.92,tidak stress
0.5,1.87,2.14,1.87,81.88,stress
1.51,0.74,2.29,1.3,72.27,stress
2.47,0.0,1.42,1.6,12.51,tidak stress
0.0,3.32,0.54,1.73,75.04,stress
1.97,0.81,2.06,0.72,62.39,stress
1.64,1.3,3.38,2.0,46.05,tidak stress
2.95,1.59,1.78,0.71,11.24,tidak stress
3.35,1.89,2.34,1.13,37.16,tidak stress
3.34,2.69,2.5,1.94,35.14,tidak stress
0.0,0.41,1.82,2.74,41.57,tidak stress
0.44,1.56,1.94,1.82,57.99,stress
2.64,1.79,2.73,2.35,11.16,tidak stress
1.53,1.14,2.26,1.67,25.36,tidak stress
2.32,2.15,2.08,2.66,43.13,tidak stress
2.95,2.59,1.74,1.01,4.58,tidak stress
3.03,0.89,3.09,1.24,89.83,stress
1.4,0.0,3.67,1.32,3.91,tidak stress
1.76,0.0,1.37,1.6,12.15,tidak stress
0.44,1.41,1.89,1.22,83.71,stress
1.45,1.7,1.85,1.35,34.27,tidak stress
1.58,1.4,1.01,1.57,17.6,tidak stress
1.27,0.0,3.31,1.67,4.91,tidak stress
2.0,2.48,0.99,0.9,93.75,stress
1.45,2.31,1.15,1.85,54.28,stress
2.57,1.35,2.55,1.12,27.65,tidak stress
0.56,1.65,3.22,1.31,51.23,stress
1.71,0.0,2.03,1.93,55.22,stress
1.9,1.58,1.99,1.04,77.99,stress
2.79,1.09,1.73,1.54,79.02,stress
1.58,1.53,2.34,1.26,4.77,tidak stress
3.11,1.68,1.23,0.44,31.08,tidak stress
0.0,1.38,1.99,1.08,36.84,tidak stress
3.39,0.65,1.9,0.82,57.92,stress
1.72,1.35,2.97,1.59,46.7,tidak stress
2.49,2.83,2.05,1.35,86.96,stress
3.23,1.51,1.53,1.04,8.37,tidak stress
2.11,1.73,0.54,0.63,83.59,stress
2.24,2.59,1.57,1.56,23.05,tidak stress
3.07,3.03,1.99,0.78,44.4,tidak stress
2.94,1.98,1.29,2.65,20.98,tidak stress
2.66,1.71,2.13,1.62,36.74,tidak stress
2.37,2.06,2.47,1.54,74.79,stress
2.02,2.14,1.88,2.04,53.4,stress
1.97,1.2,1.59,2.33,34.55,tidak stress
1.68,3.19,2.61,1.11,0.15,tidak stress
2.59,0.0,1.45,2.15,36.39,tidak stress
1.53,1.89,0.97,1.21,95.36,stress
1.57,2.14,3.36,1.07,29.2,tidak stress
1.63,1.94,2.44,1.02,84.97,stress
1.01,2.15,3.54,0.81,28.45,tidak stress
0.5,0.86,2.49,1.64,0.62,tidak stress
2.1,2.02,2.01,1.66,33.61,tidak stress
1.46,0.95,0.59,2.5,76.64,stress
2.01,0.78,2.92,1.41,29.54,tidak stress
0.94,2.2,3.33,1.7,77.63,stress
2.24,0.0,1.65,0.87,41.64,tidak stress
0.35,1.25,0.0,1.63,2.69,tidak stress
2.73,1.37,2.06,1.33,49.49,tidak stress
0.99,0.0,1.92,1.89,40.61,tidak stress
2.37,2.2,2.29,1.46,89.18,stress
1.35,2.02,3.27,2.34,84.92,stress
2.35,0.97,1.66,1.56,37.4,tidak stress
1.35,3.41,0.16,1.39,58.73,stress
2.01,2.16,2.41,1.38,68.32,stress
2.46,0.0,1.43,1.49,33.73,tidak stress
3.55,1.99,0.35,1.57,55.86,stress
0.96,0.03,2.94,2.06,70.84,stress
2.51,1.94,0.93,0.36,82.44,stress
1.55,0.75,1.73,1.47,63.89,stress
0.92,0.41,1.48,1.28,25.13,tidak stress
2.58,1.36,3.85,1.78,85.42,stress
0.84,0.78,0.99,1.31,1.46,tidak stress
1.67,1.57,2.51,2.07,10.28,tidak stress
2.14,1.14,1.5,1.65,26.57,tidak stress
1.34,2.93,3.23,1.7,30.05,tidak stress
2.2,1.62,2.41,2.31,12.62,tidak stress
3.05,1.68,1.38,1.97,27.57,tidak stress
1.3,1.23,2.23,1.01,65.04,stress
2.96,1.89,2.97,1.0,7.49,tidak stress
0.93,2.15,2.29,1.25,22.01,tidak stress
0.8,1.74,0.0,2.15,44.66,tidak stress
1.11,1.4,1.1,2.22,88.44,stress
3.29,2.02,2.61,1.19,20.59,tidak stress
1.9,0.65,0.98,1.22,45.11,tidak stress
0.0,0.46,1.23,1.26,78.46,stress
0.68,1.64,1.01,1.01,22.67,tidak stress
1.29,0.77,0.57,0.78,69.66,stress
3.46,2.63,1.64,1.71,40.1,tidak stress
2.24,1.87,0.88,1.54,8.75,tidak stress
2.35,2.22,1.41,1.74,54.08,stress
1.94,1.61,1.36,1.65,76.36,stress
2.75,2.35,2.98,1.77,89.13,stress
1.17,2.46,1.16,0.4,14.77,tidak stress
1.42,1.37,3.51,1.6,49.73,tidak stress
1.67,1.99,2.9,1.79,68.41,stress
1.96,1.89,4.86,1.52,33.97,tidak stress
1.84,3.11,2.43,0.73,26.48,tidak stress
1.57,0.96,0.0,2.32,68.74,stress
0.24,1.7,1.67,1.61,58.24,stress
3.65,1.36,1.45,1.96,13.82,tidak stress
2.95,1.65,0.73,1.66,7.51,tidak stress
1.76,3.61,0.43,1.59,54.37,stress
1.42,1.32,2.6,1.5,93.89,stress
1.26,3.16,3.82,2.34,83.57,stress
0.52,1.57,3.58,1.67,12.26,tidak stress
1.4,1.21,0.73,1.54,78.39,stress
1.59,2.23,2.76,1.36,46.42,tidak stress
3.11,1.4,2.22,1.65,36.07,tidak stress
1.32,1.64,2.44,1.71,71.29,stress
2.28,0.36,1.71,1.41,79.78,stress
3.43,2.63,2.55,1.65,62.92,stress
2.87,1.84,2.21,1.03,61.15,stress
1.76,0.59,2.94,0.98,98.77,stress
1.68,2.39,2.1,1.43,34.2,tidak stress
3.22,1.4,0.92,1.29,60.36,stress
1.89,0.62,2.24,1.81,26.18,tidak stress
3.47,1.32,0.54,1.44,20.47,tidak stress
2.11,2.13,1.6,1.6,7.45,tidak stress
1.16,0.87,1.68,1.97,12.39,tidak stress
2.29,0.16,2.01,2.57,51.08,stress
3.73,1.69,1.67,2.12,67.19,stress
3.02,3.02,2.95,1.48,66.41,stress
4.4,1.36,1.76,1.63,79.43,stress
2.37,0.5,3.57,0.88,34.22,tidak stress
3.49,2.24,1.51,0.98,76.39,stress
0.58,1.59,2.97,1.64,62.71,stress
1.31,2.19,2.12,1.27,47.89,tidak stress
2.99,0.93,1.75,1.75,24.26,tidak stress
2.75,1.28,1.38,0.73,58.85,stress
1.44,1.83,4.36,2.03,7.04,tidak stress
4.09,1.64,1.94,2.08,14.0,tidak stress
1.71,0.59,2.48,1.71,87.53,stress
2.13,0.94,0.7,2.0,54.77,stress
1.81,0.85,0.48,1.3,50.26,stress
1.45,1.09,2.9,1.95,63.81,stress
2.75,1.38,2.45,1.24,99.37,stress
1.63,1.37,1.12,1.6,34.9,tidak stress
1.37,1.81,1.5,1.48,58.76,stress
3.04,0.24,3.53,1.33,42.52,tidak stress
1.59,1.69,1.66,1.9,66.44,stress
0.79,0.02,2.08,1.02,64.58,stress
0.94,1.21,2.56,1.63,4.43,tidak stress
2.73,0.44,1.77,1.22,47.37,tidak stress
0.0,1.77,0.87,1.93,16.82,tidak stress
1.85,2.37,3.28,2.18,18.69,tidak stress
0.6,1.25,3.93,1.53,13.09,tidak stress
2.53,0.79,3.23,2.03,47.55,tidak stress
2.15,1.99,2.45,1.65,79.12,stress
1.03,2.82,2.0,2.43,48.06,tidak stress
2.6,2.12,1.48,0.52,28.73,tidak stress
2.58,0.66,2.48,0.62,52.72,stress
2.31,2.39,0.9,1.81,60.99,stress
1.34,1.88,4.27,1.98,17.53,tidak stress
1.55,0.6,0.34,1.45,35.83,tidak stress
1.61,4.19,0.69,1.02,45.41,tidak stress
2.37,0.01,0.91,1.58,8.98,tidak stress
1.79,2.03,2.24,1.44,16.32,tidak stress
1.58,1.46,2.74,1.84,49.83,tidak stress
1.54,0.0,2.01,1.86,9.91,tidak stress
3.99,1.52,1.96,0.09,36.77,tidak stress
1.97,0.47,1.9,0.6,10.26,tidak stress
0.78,0.4,2.25,2.07,19.37,tidak stress
0.97,3.24,3.09,2.86,65.36,stress
2.15,2.49,1.06,1.07,24.64,tidak stress
0.18,0.95,1.28,1.13,33.5,tidak stress
1.3,1.04,2.0,1.92,48.45,tidak stress
1.22,2.76,3.61,1.17,38.68,tidak stress
0.82,0.62,2.22,1.67,63.65,stress
2.03,1.54,2.34,1.55,86.83,stress
3.6,2.6,3.0,1.87,1.57,tidak stress
1.44,1.46,5.12,0.21,29.73,tidak stress
2.81,1.24,3.18,1.78,98.91,stress
1.34,1.57,1.29,1.15,17.95,tidak stress
2.37,0.12,1.62,1.67,92.36,stress
3.1,2.12,1.27,1.14,6.41,tidak stress
4.79,0.65,1.52,1.41,95.99,stress
1.23,0.54,1.77,1.9,27.91,tidak stress
2.35,1.43,2.84,1.73,41.54,tidak stress
1.04,1.43,3.49,1.88,55.4,stress
2.96,0.0,2.75,1.18,73.02,stress
2.37,0.75,2.87,1.5,94.97,stress
2.85,0.47,2.2,1.17,47.93,tidak stress
2.73,1.08,1.14,0.77,44.16,tidak stress
3.19,2.73,0.31,1.06,27.42,tidak stress
2.59,1.69,2.14,1.97,86.57,stress
3.22,2.73,0.0,1.81,88.84,stress
1.52,3.03,2.68,2.11,89.86,stress
3.28,1.0,1.52,1.05,30.73,tidak stress
1.63,1.9,2.94,1.3,0.83,tidak stress
1.95,1.91,1.3,1.0,96.09,stress
3.44,0.48,3.11,0.87,77.88,stress
1.53,1.42,2.57,2.34,53.46,stress
2.81,2.33,2.04,2.05,59.59,stress
1.13,0.6,1.32,2.07,81.32,stress
2.94,2.68,1.78,2.65,72.99,stress
0.0,0.47,2.61,1.28,13.38,tidak stress
2.6,0.67,3.72,1.9,64.09,stress
1.54,0.94,3.08,1.23,47.39,tidak stress
0.51,1.48,1.3,1.83,13.15,tidak stress
0.82,0.97,2.07,0.93,67.62,stress
2.59,2.75,2.82,2.16,7.5,tidak stress
3.86,1.98,2.58,1.01,14.13,tidak stress
1.51,2.69,1.6,1.43,48.94,tidak stress
1.79,2.35,0.16,2.07,92.96,stress
1.8,1.85,1.86,2.34,69.5,stress
0.36,2.97,2.7,1.13,39.28,tidak stress
1.11,0.89,1.2,1.63,57.74,stress
0.95,2.62,4.06,1.43,76.09,stress
1.84,2.38,4.27,1.53,10.71,tidak stress
2.38,1.77,1.2,0.82,64.92,stress
3.19,3.81,0.06,0.97,83.39,stress
0.75,0.0,0.6,1.87,9.21,tidak stress
1.83,1.58,1.79,1.2,51.27,stress
1.04,0.0,2.03,0.96,3.0,tidak stress
2.3,0.77,4.15,1.77,77.64,stress
2.31,1.01,1.5,1.27,36.11,tidak stress
1.4,2.75,2.39,2.58,6.87,tidak stress
1.96,1.4,1.85,1.92,86.32,stress
1.69,0.63,1.26,1.57,18.46,tidak stress
1.96,0.0,3.37,1.49,45.76,tidak stress
1.72,0.56,1.28,1.12,87.03,stress
1.61,2.09,4.33,2.1,51.51,stress
2.15,1.61,3.13,1.35,36.95,tidak stress
1.12,1.37,1.17,1.03,79.59,stress
1.93,1.45,0.03,1.45,66.83,stress
3.14,2.75,2.82,1.11,47.53,tidak stress
2.59,1.72,2.11,0.9,89.51,stress
0.41,2.57,1.63,0.85,6.02,tidak stress
3.54,3.33,1.86,2.2,34.99,tidak stress
2.27,0.81,0.86,1.89,98.38,stress
2.32,0.44,2.47,1.24,32.04,tidak stress
0.81,0.43,0.79,0.65,70.18,stress
3.48,0.67,3.48,1.39,72.91,stress
1.16,1.68,2.17,0.01,65.4,stress
2.15,2.6,3.25,0.09,72.64,stress
2.46,2.42,2.62,1.35,77.23,stress
2.24,0.0,1.89,2.03,29.65,tidak stress
2.09,3.51,3.78,1.19,75.46,stress
3.03,1.41,3.58,1.17,0.41,tidak stress
2.31,0.56,1.15,1.98,18.25,tidak stress
1.22,2.54,2.45,0.93,40.96,tidak stress
0.18,0.01,1.18,1.53,5.61,tidak stress
1.94,0.99,0.0,0.59,69.74,stress
2.06,2.82,1.76,1.74,75.01,stress
1.87,0.99,2.8,1.04,34.49,tidak stress
2.93,1.48,2.48,0.83,59.25,stress
1.02,2.58,1.23,1.68,12.39,tidak stress
2.64,0.16,2.91,1.09,2.38,tidak stress
2.42,1.16,3.45,1.41,55.19,stress
0.87,1.02,1.55,0.73,6.49,tidak stress
1.85,0.0,2.65,1.41,27.22,tidak stress
2.09,1.89,1.08,1.23,13.64,tidak stress
2.01,1.74,2.69,1.02,20.62,tidak stress
2.2,0.02,2.32,1.9,78.08,stress
1.88,2.97,2.61,1.74,80.31,stress
1.59,1.24,3.26,2.55,85.92,stress
2.75,0.41,0.93,0.91,18.91,tidak stress
2.16,1.36,1.66,1.62,32.0,tidak stress
2.4,0.68,1.02,1.26,48.81,tidak stress
2.72,1.38,2.39,0.75,6.93,tidak stress
2.04,1.43,2.14,1.28,4.22,tidak stress
2.2,3.11,2.76,0.93,46.98,tidak stress
1.65,0.0,2.02,0.71,10.37,tidak stress
2.24,1.49,2.73,1.26,38.68,tidak stress
1.65,2.21,3.16,1.79,84.5,stress
1.24,0.2,1.36,1.41,1.06,tidak stress
2.22,1.83,1.49,1.22,45.83,tidak stress
1.89,2.46,3.42,2.04,91.53,stress
1.8,1.17,0.34,0.45,41.56,tidak stress
0.48,1.83,0.0,2.38,37.9,tidak stress
2.01,2.5,2.62,1.89,89.96,stress
2.73,2.79,2.29,1.63,56.49,stress
3.61,3.36,1.12,1.27,26.31,tidak stress
2.64,0.0,2.53,2.07,81.97,stress
3.14,0.49,2.7,0.91,41.25,tidak stress
2.73,3.38,1.67,1.16,18.22,tidak stress
1.92,2.29,4.02,1.3,25.92,tidak stress
1.54,2.32,1.1,0.84,82.27,stress
3.2,3.24,1.35,1.13,25.5,tidak stress
2.04,1.39,2.27,0.44,15.3,tidak stress
3.09,1.29,2.23,0.77,8.53,tidak stress
1.64,1.11,1.48,1.83,83.41,stress
3.18,1.23,2.12,0.63,9.56,tidak stress
1.65,1.13,0.39,1.55,19.35,tidak stress
1.35,0.17,1.06,1.12,7.44,tidak stress
0.67,1.78,0.75,0.28,69.83,stress
0.48,0.56,1.04,1.97,28.47,tidak stress
3.39,1.34,2.72,1.75,47.27,tidak stress
1.23,0.05,2.46,0.82,87.77,stress
2.96,0.15,3.33,0.52,81.68,stress
1.43,2.6,2.45,1.14,5.73,tidak stress
2.12,2.34,2.08,1.55,10.82,tidak stress
1.97,0.92,0.89,1.67,78.39,stress
3.55,0.0,4.51,1.58,69.2,stress
0.22,1.11,1.51,2.57,62.27,stress
2.34,0.69,2.33,1.97,22.18,tidak stress
1.17,2.22,1.1,1.79,93.88,stress
1.82,2.46,0.74,1.82,48.24,tidak stress
